GLOBALTIME, DELTATIME, ID, STATE, POS_x, POS_y, VEL_x, VEL_y, FR_x, FR_y, MASS, ROTATION(DEGREES), FRICTIONCOEF.., RESTITUTIONCOEF.., AIR DRAG COEF..
2.052988, 0.020676, 2, 1, 9.987507, 4.698629, -0.068701, 2.881110, 0.000443, -48.210377, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.075107, 0.022119, 2, 1, 9.985988, 4.757628, -0.068699, 2.667344, 0.000442, -48.321800, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.092085, 0.016978, 2, 1, 9.984821, 4.800122, -0.068697, 2.502885, 0.000442, -48.432995, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.111324, 0.019239, 2, 1, 9.983500, 4.844684, -0.068696, 2.316217, 0.000442, -48.512707, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.130321, 0.018997, 2, 1, 9.982195, 4.885177, -0.068694, 2.131578, 0.000442, -48.597042, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.146989, 0.016668, 2, 1, 9.981050, 4.918002, -0.068692, 1.969318, 0.000442, -48.674034, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.165204, 0.018215, 2, 1, 9.979798, 4.950639, -0.068691, 1.791771, 0.000442, -48.736416, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.185745, 0.020541, 2, 1, 9.978388, 4.983325, -0.068689, 1.591295, 0.000442, -48.799019, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.205143, 0.019398, 2, 1, 9.977056, 5.010516, -0.068687, 1.401728, 0.000442, -48.862602, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.227094, 0.021951, 2, 1, 9.975548, 5.036572, -0.068685, 1.186978, 0.000442, -48.915794, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.246126, 0.019032, 2, 1, 9.974240, 5.055614, -0.068684, 1.000586, 0.000442, -48.967911, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.264372, 0.018246, 2, 1, 9.972987, 5.070608, -0.068682, 0.821753, 0.000442, -49.006138, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.282447, 0.018075, 2, 1, 9.971745, 5.082257, -0.068680, 0.644485, 0.000442, -49.036690, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.300402, 0.017955, 2, 1, 9.970512, 5.090666, -0.068679, 0.468307, 0.000442, -49.061058, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.317679, 0.017277, 2, 1, 9.969326, 5.095827, -0.068677, 0.298718, 0.000442, -49.079437, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.335121, 0.017442, 2, 1, 9.968128, 5.098050, -0.068676, 0.127467, 0.000442, -49.091633, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.353779, 0.018658, 2, 1, 9.966846, 5.097010, -0.068674, -0.055749, 0.000442, -49.098476, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.375216, 0.021437, 2, 1, 9.965374, 5.091302, -0.068672, -0.266259, 0.000442, -49.099709, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.393478, 0.018262, 2, 1, 9.964120, 5.083166, -0.068671, -0.445568, 0.000442, -49.093353, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.411943, 0.018465, 2, 1, 9.962852, 5.071591, -0.068669, -0.626825, 0.000442, -49.081387, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.429673, 0.017730, 2, 1, 9.961634, 5.057393, -0.068667, -0.800803, 0.000442, -49.063164, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.448697, 0.019024, 2, 1, 9.960327, 5.038609, -0.068666, -0.987390, 0.000442, -49.039879, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.465753, 0.017056, 2, 1, 9.959156, 5.018917, -0.068664, -1.154568, 0.000442, -49.008598, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.486423, 0.020671, 2, 1, 9.957737, 4.990865, -0.068662, -1.357041, 0.000442, -48.975025, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.504243, 0.017820, 2, 1, 9.956513, 4.963575, -0.068661, -1.531418, 0.000442, -48.927353, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.526318, 0.022075, 2, 1, 9.954998, 4.925005, -0.068659, -1.747224, 0.000442, -48.880131, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.543863, 0.017545, 2, 1, 9.953794, 4.891345, -0.068657, -1.918512, 0.000442, -48.813801, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.561732, 0.017869, 2, 1, 9.952567, 4.853950, -0.068656, -2.092752, 0.000442, -48.754932, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.578945, 0.017213, 2, 1, 9.951385, 4.815042, -0.068654, -2.260370, 0.000442, -48.689411, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.597148, 0.018203, 2, 1, 9.950136, 4.770674, -0.068653, -2.437380, 0.000442, -48.621002, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
2.720680, 0.123531, 2, 1, 9.941657, 4.321430, -0.068642, -3.636694, 0.000442, -48.543045, 5.000000, 30.000000, 0.500000, 0.350000, 0.150000, 
